especie,Date,apertura,maximo,minimo,Close,volumen,timestamp
CEDEARKO,2021-06-08,1870,1872.5,1843.5,1862,14671,1623121200
CEDEARKO,2021-06-09,1872.5,1873,1834.5,1847.5,19171,1623207600
CEDEARKO,2021-06-10,1853.5,1870,1835,1845,15214,1623294000
CEDEARKO,2021-06-11,1842.5,1860,1835,1849.5,11484,1623380400
CEDEARKO,2021-06-14,1829,1833.5,1805.5,1821,33616,1623639600
CEDEARKO,2021-06-15,1823,1838,1815,1835.5,29789,1623726000
CEDEARKO,2021-06-16,1830,1833,1811,1814.5,33166,1623812400
CEDEARKO,2021-06-17,1827.5,1844.5,1805.5,1841.5,44237,1623898800
CEDEARKO,2021-06-18,1822.5,1826.5,1771,1798.5,10668,1623985200
CEDEARKO,2021-06-22,1795.5,1860,1795.5,1845,65907,1624330800
CEDEARKO,2021-06-23,1837,1838,1807.5,1831,11436,1624417200
CEDEARKO,2021-06-24,1833.5,1852.5,1808,1837,46632,1624503600
CEDEARKO,2021-06-25,1832.5,1860,1816,1856,12419,1624590000
CEDEARKO,2021-06-28,1856,1868,1832,1848.5,24996,1624849200
CEDEARKO,2021-06-29,1848.5,1860.5,1819,1831,10432,1624935600
CEDEARKO,2021-06-30,1832,1865,1823.5,1860.5,33068,1625022000
CEDEARKO,2021-07-01,1870,1875,1840,1858,35508,1625108400
CEDEARKO,2021-07-02,1883,1885,1864,1871.5,15694,1625194800
CEDEARKO,2021-07-05,1874,1912,1871.5,1909,4774,1625454000
CEDEARKO,2021-07-06,1898,1898,1854.5,1880,40484,1625540400
CEDEARKO,2021-07-07,1880,1899,1880,1897.5,83782,1625626800
CEDEARKO,2021-07-08,1896,1896,1870,1886.5,63048,1625713200
CEDEARKO,2021-07-12,1886.5,1906,1861,1871.5,20540,1626058800
CEDEARKO,2021-07-13,1880,1909,1872,1891.5,40246,1626145200
CEDEARKO,2021-07-14,1910,1950,1904,1948,14040,1626231600
CEDEARKO,2021-07-15,1945,1969,1924.5,1964.5,30522,1626318000
CEDEARKO,2021-07-16,1980,1992,1964,1979,17364,1626404400
CEDEARKO,2021-07-19,1977,1991,1907,1983.5,15930,1626663600
CEDEARKO,2021-07-20,1990,2017.5,1990,1998.5,19899,1626750000
CEDEARKO,2021-07-21,2010,2046,2010,2026,15979,1626836400
CEDEARKO,2021-07-22,2026,2040,1998.5,2033,40499,1626922800
CEDEARKO,2021-07-23,2040,2065,2033,2051,17874,1627009200
CEDEARKO,2021-07-26,2051,2069.5,2019,2061.5,15917,1627268400
CEDEARKO,2021-07-27,2062,2085,2060,2069.5,17367,1627354800
CEDEARKO,2021-07-28,2069.5,2075,2050,2057.5,15950,1627441200
CEDEARKO,2021-07-29,2073.5,2075,2045,2068.5,11918,1627527600
CEDEARKO,2021-07-30,2075,2084,2060,2075,10013,1627614000
CEDEARKO,2021-08-02,2081,2081,2055,2067.5,13980,1627873200
CEDEARKO,2021-08-03,2070,2070.5,2045,2055.5,19827,1627959600
CEDEARKO,2021-08-04,2055,2055,2002,2011,39192,1628046000
CEDEARKO,2021-08-05,2028,2033.5,2012,2030.5,54639,1628132400
CEDEARKO,2021-08-06,2047,2047,2004,2021.5,53042,1628218800
CEDEARKO,2021-08-09,2015,2030,2000,2011,49127,1628478000
CEDEARKO,2021-08-10,2011,2031,2000,2003.5,42914,1628564400
CEDEARKO,2021-08-11,2025,2035.5,2012,2014.5,38622,1628650800
CEDEARKO,2021-08-12,2020,2030.5,1977,1997.5,43014,1628737200
CEDEARKO,2021-08-13,2030,2069,1998,2048.5,28540,1628823600
CEDEARKO,2021-08-17,2048,2059.5,2009.5,2028.5,35827,1629169200
CEDEARKO,2021-08-18,2000.5,2034,1994.5,2000.5,46808,1629255600
CEDEARKO,2021-08-19,2010,2047,1995,2042,60971,1629342000
CEDEARKO,2021-08-20,2052,2052,2021,2034.5,18071,1629428400
CEDEARKO,2021-08-23,2015,2048,1990,2003,77460,1629687600
CEDEARKO,2021-08-24,2010,2010,1952.5,1977,55287,1629774000
CEDEARKO,2021-08-25,1976,1987,1960,1980.5,56467,1629860400
CEDEARKO,2021-08-26,1985,1985,1961.5,1970,30695,1629946800
CEDEARKO,2021-08-27,1980,1986,1937.5,1978,43358,1630033200
CEDEARKO,2021-08-30,1999,2000,1962,1974.5,69797,1630292400
CEDEARKO,2021-08-31,1970,1997,1967.5,1993.5,91508,1630378800
CEDEARKO,2021-09-01,1993.5,2020.5,1982.5,2014.5,98663,1630465200
